Date/Time,Cogeneration:ElectricitySurplusSold [J](Hourly),Cogeneration:ElectricityPurchased [J](Hourly),Photovoltaic:ElectricityProduced [J](Hourly) 
 12/21  01:00:00,0.0,14403276.4204295,0.0 
 12/21  02:00:00,0.0,14218755.6326105,0.0 
 12/21  03:00:00,0.0,14166733.7521652,0.0 
 12/21  04:00:00,0.0,14186387.395985,0.0 
 12/21  05:00:00,0.0,14491386.2063281,0.0 
 12/21  06:00:00,0.0,15421689.1657832,0.0 
 12/21  07:00:00,0.0,16733265.0172543,0.0 
 12/21  08:00:00,0.0,17534263.8376525,0.0 
 12/21  09:00:00,0.0,17896630.7632438,0.0 
 12/21  10:00:00,0.0,17960062.2973452,0.0 
 12/21  11:00:00,0.0,17733821.9429616,0.0 
 12/21  12:00:00,0.0,17442780.2461508,0.0 
 12/21  13:00:00,0.0,17123351.5968532,0.0 
 12/21  14:00:00,0.0,16873719.5693976,0.0 
 12/21  15:00:00,0.0,16652376.6769773,0.0 
 12/21  16:00:00,0.0,16778329.9053017,0.0 
 12/21  17:00:00,0.0,17345168.0520312,0.0 
 12/21  18:00:00,0.0,17932150.1320212,0.0 
 12/21  19:00:00,0.0,18201265.3497556,0.0 
 12/21  20:00:00,0.0,18041444.8019748,0.0 
 12/21  21:00:00,0.0,17689430.2785978,0.0 
 12/21  22:00:00,0.0,17029883.7074489,0.0 
 12/21  23:00:00,0.0,16032658.3922795,0.0 
 12/21  24:00:00,0.0,15129168.9694409,0.0 
 07/21  01:00:00,0.0,6937970.93520664,0.0 
 07/21  02:00:00,0.0,6139083.46941974,0.0 
 07/21  03:00:00,0.0,5679032.26093944,0.0 
 07/21  04:00:00,0.0,5377769.994507,0.0 
 07/21  05:00:00,0.0,5538999.72334631,0.0 
 07/21  06:00:00,0.0,6639913.82872955,31863.4816810003 
 07/21  07:00:00,0.0,7618694.73858799,1545186.45332269 
 07/21  08:00:00,0.0,5930785.46073609,5113987.95085319 
 07/21  09:00:00,0.0,2634813.40385888,8838505.88492466 
 07/21  10:00:00,434010.545164404,159124.173271889,12074136.7374182 
 07/21  11:00:00,2567706.94982856,0.0,14538064.3295062 
 07/21  12:00:00,4021302.78627383,0.0,16067814.2422559 
 07/21  13:00:00,4240000.46161416,0.0,16546143.4235448 
 07/21  14:00:00,3218152.65692715,0.0,15948041.9828055 
 07/21  15:00:00,1013602.06862464,6665.62113969485,14305755.3734678 
 07/21  16:00:00,0.0,1948367.43814219,11745115.0694576 
 07/21  17:00:00,0.0,6150215.08113281,8436470.41206621 
 07/21  18:00:00,0.0,11076856.3241603,4691291.66749202 
 07/21  19:00:00,0.0,15294832.2166414,1228817.44176508 
 07/21  20:00:00,0.0,15311900.8380803,10794.4115179754 
 07/21  21:00:00,0.0,14215283.3682115,0.0 
 07/21  22:00:00,0.0,12798732.8809888,0.0 
 07/21  23:00:00,0.0,10633504.0151959,0.0 
 07/21  24:00:00,0.0,8604143.17699319,0.0 
 01/01  01:00:00,0.0,4887036.71122761,0.0 
 01/01  02:00:00,0.0,6093758.48038999,0.0 
 01/01  03:00:00,0.0,6985842.24980727,0.0 
 01/01  04:00:00,0.0,7586158.01611317,0.0 
 01/01  05:00:00,0.0,8596595.98182436,0.0 
 01/01  06:00:00,0.0,10304447.1563922,0.0 
 01/01  07:00:00,0.0,12449086.377256,0.0 
 01/01  08:00:00,0.0,12377737.149565,496006.923018882 
 01/01  09:00:00,0.0,5535281.54225229,4130310.75836496 
